City,Country,Latitude,Longitude,Date,Wind_Speed,Pressure,Humidity,Temperature,Cloudiness
Nikolskoye,RU,59.7035,30.7861,1650427503.0,5.66,1025.0,87.0,40.87,90.0
Mataura,NZ,-46.1927,168.8643,1650427505.0,4.38,1009.0,68.0,63.48,100.0
East London,ZA,-33.0153,27.9116,1650427506.0,9.6,1021.0,85.0,65.73,14.0
Hermanus,ZA,-34.4187,19.2345,1650427292.0,7.54,1014.0,55.0,66.09,40.0
Vao,NC,-22.6667,167.4833,1650427509.0,6.93,1013.0,68.0,75.99,0.0
Vysokogornyy,RU,50.1167,139.15,1650427510.0,12.39,993.0,60.0,56.17,82.0
Zubtsov,RU,56.1753,34.5894,1650427511.0,12.06,1019.0,79.0,39.13,1.0
attawapiskat,,,,,,,,,
Yuancheng,CN,36.652,107.7896,1650427514.0,17.81,1007.0,18.0,65.34,0.0
Busselton,AU,-33.65,115.3333,1650427448.0,6.4,1025.0,44.0,70.14,3.0
Yellowknife,CA,62.456,-114.3525,1650427219.0,4.81,1019.0,96.0,9.81,36.0
Lancaster,US,40.2504,-76.2499,1650427388.0,12.66,1020.0,67.0,40.73,0.0
yithion,,,,,,,,,
Pochutla,MX,15.7432,-96.4661,1650427520.0,3.31,1013.0,57.0,82.81,1.0
Fortuna,US,40.5982,-124.1573,1650427522.0,4.61,1013.0,79.0,50.67,0.0
Santo Domingo,DO,18.5001,-69.9886,1650427513.0,1.01,1015.0,93.0,74.03,36.0
hakvik,,,,,,,,,
Khilok,RU,51.3674,110.4676,1650427525.0,14.14,1007.0,30.0,38.71,11.0
Kargasok,RU,59.0556,80.8572,1650427527.0,10.94,1011.0,70.0,41.47,92.0
Bafoulabé,ML,13.8065,-10.8321,1650427529.0,5.32,1008.0,10.0,88.97,87.0
Naze,JP,28.3667,129.4833,1650427530.0,4.85,1018.0,57.0,68.27,92.0
Cape Town,ZA,-33.9258,18.4232,1650427255.0,4.61,1013.0,34.0,72.12,76.0
Arraial do Cabo,BR,-22.9661,-42.0278,1650427533.0,2.89,1017.0,81.0,72.34,0.0
Provideniya,RU,64.3833,-173.3,1650427534.0,4.47,1009.0,60.0,35.71,0.0
Thompson,CA,55.7435,-97.8558,1650427516.0,7.9,1018.0,96.0,25.79,100.0
Whitehorse,CA,60.7161,-135.0538,1650427537.0,2.53,1010.0,88.0,32.09,100.0
Albany,US,42.6001,-73.9662,1650427426.0,1.01,1009.0,72.0,39.63,71.0
samusu,,,,,,,,,
Kiryat Gat,IL,31.61,34.7642,1650427540.0,2.84,1017.0,100.0,60.4,28.0
Hobart,AU,-42.8794,147.3294,1650427408.0,25.32,1004.0,49.0,61.27,75.0
Vestmannaeyjar,IS,63.4427,-20.2734,1650427543.0,39.35,1001.0,89.0,43.83,100.0
Norman Wells,CA,65.282,-126.8329,1650427544.0,3.51,1015.0,94.0,19.94,22.0
Hasaki,JP,35.7333,140.8333,1650427546.0,11.12,1021.0,78.0,57.29,100.0
illoqqortoormiut,,,,,,,,,
Saint Anthony,US,45.0205,-93.218,1650427548.0,10.36,1018.0,47.0,44.26,100.0
Ushuaia,AR,-54.8,-68.3,1650427550.0,2.3,990.0,70.0,44.26,20.0
Butaritari,KI,3.0707,172.7902,1650427551.0,15.7,1008.0,71.0,82.44,57.0
Saint-Augustin,CA,51.226,-58.6502,1650427552.0,16.93,1027.0,96.0,28.24,100.0
Tasiilaq,GL,65.6145,-37.6368,1650427554.0,9.13,1008.0,92.0,30.36,100.0
Saint-Philippe,RE,-21.3585,55.7679,1650427555.0,5.57,1016.0,79.0,79.21,32.0
Sorong,ID,-0.8833,131.25,1650427557.0,4.97,1008.0,69.0,85.14,58.0
Pevek,RU,69.7008,170.3133,1650427558.0,2.51,1009.0,80.0,28.35,48.0
Nouadhibou,MR,20.931,-17.0347,1650427560.0,16.69,1013.0,88.0,64.45,93.0
Tuktoyaktuk,CA,69.4541,-133.0374,1650427561.0,1.83,1016.0,93.0,5.38,9.0
Hofn,IS,64.2539,-15.2082,1650427562.0,3.31,1011.0,80.0,43.39,59.0
Upington,ZA,-28.4478,21.2561,1650427564.0,7.76,1020.0,45.0,64.17,0.0
Hithadhoo,MV,-0.6,73.0833,1650427565.0,4.88,1011.0,71.0,82.74,71.0
Tiksi,RU,71.6872,128.8694,1650427567.0,6.33,1000.0,91.0,12.34,100.0
Lompoc,US,34.6391,-120.4579,1650427322.0,10.0,1015.0,86.0,56.01,100.0
Austin,US,30.2672,-97.7431,1650427335.0,12.66,1014.0,86.0,69.58,100.0
Hohhot,CN,40.8106,111.6522,1650427570.0,21.74,1002.0,14.0,65.46,93.0
Tanout,NE,14.9709,8.8879,1650427572.0,11.63,1010.0,17.0,77.11,85.0
Puerto Nariño,CO,-3.7703,-70.3831,1650427573.0,1.21,1012.0,98.0,72.48,100.0
Kamaishi,JP,39.2667,141.8833,1650427574.0,14.52,1020.0,55.0,54.01,0.0
Saint George,US,37.1041,-113.5841,1650427387.0,20.71,1004.0,9.0,75.79,0.0
tumannyy,,,,,,,,,
Scottsbluff,US,41.8666,-103.6672,1650427485.0,16.11,997.0,22.0,66.43,40.0
Tessalit,ML,20.1986,1.0114,1650427579.0,4.23,1009.0,12.0,74.5,4.0
Nanortalik,GL,60.1432,-45.2371,1650427581.0,27.18,1013.0,56.0,24.24,0.0
Sitka,US,57.0531,-135.33,1650427582.0,5.75,1003.0,37.0,51.69,75.0
Khatanga,RU,71.9667,102.5,1650427583.0,5.48,1006.0,87.0,10.51,69.0
Geraldton,AU,-28.7667,114.6,1650427585.0,10.36,1020.0,24.0,82.81,96.0
vaitupu,,,,,,,,,
Souillac,MU,-20.5167,57.5167,1650427587.0,11.5,1015.0,89.0,80.98,75.0
Vila do Maio,CV,15.1333,-23.2167,1650427589.0,13.38,1013.0,84.0,68.79,82.0
Shache,CN,38.4167,77.2406,1650427591.0,7.2,1003.0,12.0,76.03,44.0
Morro Bay,US,35.3658,-120.8499,1650427592.0,1.99,1015.0,93.0,57.0,91.0
Constantine,DZ,36.365,6.6147,1650427594.0,8.05,1007.0,50.0,56.61,40.0
Qaanaaq,GL,77.484,-69.3632,1650427595.0,6.96,1031.0,88.0,-8.84,100.0
Puerto del Rosario,ES,28.5004,-13.8627,1650427596.0,26.46,1016.0,68.0,64.15,75.0
Sühbaatar,MN,50.2314,106.2078,1650427598.0,15.39,1011.0,29.0,41.49,90.0
Dunedin,NZ,-45.8742,170.5036,1650427599.0,8.01,1010.0,85.0,58.8,100.0
North Myrtle Beach,US,33.816,-78.68,1650427601.0,0.0,1024.0,82.0,50.05,0.0
Luanda,AO,-8.8368,13.2343,1650427602.0,2.01,1010.0,89.0,75.6,100.0
Baracoa,CU,20.3467,-74.4958,1650427603.0,3.6,1016.0,88.0,73.62,100.0
tawkar,,,,,,,,,
Seoul,KR,37.5683,126.9778,1650427606.0,10.13,1016.0,21.0,72.79,0.0
Faya,SA,18.3851,42.4509,1650427607.0,3.71,1014.0,30.0,66.72,19.0
Bluff,NZ,-46.6,168.3333,1650427609.0,7.36,1008.0,65.0,63.81,100.0
Suntar,RU,62.1444,117.6319,1650427610.0,11.01,1001.0,62.0,27.25,100.0
Santa Isabel Rio Negro,BR,-0.4139,-65.0192,1650427612.0,2.01,1012.0,99.0,73.27,100.0
Lebu,CL,-37.6167,-73.65,1650427613.0,8.37,1020.0,89.0,52.29,49.0
Barrow,US,71.2906,-156.7887,1650427614.0,10.36,1018.0,73.0,15.82,0.0
Vazante,BR,-17.9869,-46.9078,1650427586.0,3.22,1016.0,66.0,68.85,57.0
Upernavik,GL,72.7868,-56.1549,1650427617.0,6.93,1034.0,99.0,-7.8,95.0
Yola,NG,9.2,12.4833,1650427618.0,3.51,1009.0,57.0,83.05,99.0
Zunyi,CN,27.6867,106.9072,1650427620.0,6.17,1015.0,66.0,65.16,92.0
Nānākuli,US,21.3906,-158.1547,1650427621.0,11.5,1021.0,62.0,78.75,40.0
Padang,ID,-0.9492,100.3543,1650427623.0,3.91,1013.0,85.0,84.25,100.0
Lebedinyy,RU,58.5167,125.5167,1650427624.0,11.95,1002.0,72.0,23.88,100.0
Aden,YE,12.7794,45.0367,1650427625.0,18.16,1011.0,77.0,81.63,1.0
New Norfolk,AU,-42.7826,147.0587,1650427627.0,5.01,1007.0,54.0,62.1,62.0
Porto Santo,PT,33.072,-16.3415,1650427383.0,19.57,1023.0,63.0,59.38,75.0
Bargi,IN,22.9833,79.8667,1650427629.0,12.59,1009.0,12.0,92.17,20.0
gurgan,,,,,,,,,
Ponta Delgada,PT,37.7333,-25.6667,1650427632.0,5.75,1031.0,67.0,60.49,75.0
Ningbo,CN,29.8782,121.5495,1650427633.0,8.37,1016.0,47.0,73.06,92.0
Rawson,AR,-43.3002,-65.1023,1650427635.0,5.41,1010.0,40.0,61.36,99.0
Bengkulu,ID,-3.8004,102.2655,1650427636.0,7.14,1011.0,68.0,84.15,100.0
amderma,,,,,,,,,
Kletskaya,RU,49.3145,43.0584,1650427639.0,8.88,1008.0,61.0,56.52,100.0
Mpongwe,ZM,-13.5091,28.155,1650427640.0,5.79,1015.0,96.0,63.07,100.0
burica,,,,,,,,,
Olafsvik,IS,64.8945,-23.7142,1650427643.0,22.77,1002.0,80.0,40.86,100.0
Avarua,CK,-21.2078,-159.775,1650427644.0,5.75,1016.0,78.0,78.85,75.0
Castro,BR,-24.7911,-50.0119,1650427646.0,4.36,1019.0,96.0,54.28,1.0
Sistranda,NO,63.7256,8.834,1650427647.0,3.2,1025.0,76.0,39.16,0.0
Biak,ID,-0.9131,122.8766,1650427648.0,1.05,1009.0,67.0,84.31,71.0
Jalu,LY,29.0331,21.5482,1650427650.0,4.5,1019.0,70.0,54.21,1.0
Rongcheng,CN,30.634,117.8517,1650427651.0,3.15,1014.0,41.0,76.98,41.0
Beihai,CN,21.4833,109.1,1650427362.0,4.74,1017.0,82.0,70.72,100.0
Port Hardy,CA,50.6996,-127.4199,1650427654.0,6.02,1009.0,73.0,43.47,68.0
Kudahuvadhoo,MV,2.6708,72.8944,1650427655.0,8.5,1011.0,68.0,83.89,67.0
Sioux Lookout,CA,50.1001,-91.917,1650427656.0,5.44,1022.0,94.0,20.37,69.0
taolanaro,,,,,,,,,
Samarai,PG,-10.6167,150.6667,1650427659.0,16.35,1007.0,71.0,84.09,100.0
Ribeira Grande,PT,38.5167,-28.7,1650427660.0,8.63,1031.0,67.0,59.85,64.0
Champerico,GT,14.3,-91.9167,1650427662.0,3.4,1013.0,66.0,84.27,0.0
Manzhouli,CN,49.6,117.4333,1650427663.0,15.68,998.0,29.0,44.74,100.0
George Town,MY,5.4112,100.3354,1650427493.0,5.75,1011.0,89.0,82.33,40.0
Husavik,IS,66.0449,-17.3389,1650427666.0,5.35,1010.0,93.0,31.21,78.0
Ambon City,ID,-3.6954,128.1814,1650427667.0,3.22,1008.0,71.0,84.65,28.0
Nevşehir,TR,38.9167,34.6667,1650427668.0,4.61,1015.0,93.0,40.21,40.0
Klaksvík,FO,62.2266,-6.589,1650427670.0,14.81,1019.0,85.0,43.72,2.0
Srīvardhan,IN,18.0333,73.0167,1650427671.0,9.13,1011.0,55.0,87.39,58.0
Hilo,US,19.7297,-155.09,1650427673.0,5.75,1021.0,92.0,75.27,100.0
Rio Grande,BR,-32.035,-52.0986,1650427674.0,9.55,1019.0,91.0,64.9,4.0
Mount Gambier,AU,-37.8333,140.7667,1650427676.0,9.06,1018.0,47.0,64.36,72.0
Nome,US,64.5011,-165.4064,1650427420.0,5.75,1008.0,64.0,35.67,0.0
Saint-Joseph,RE,-21.3667,55.6167,1650427678.0,3.09,1016.0,78.0,78.21,35.0
Saskylakh,RU,71.9167,114.0833,1650427680.0,8.59,1003.0,90.0,10.53,76.0
Matamoros,MX,25.5333,-103.25,1650427545.0,10.36,1012.0,35.0,86.11,0.0
Washington,US,47.5001,-120.5015,1650427584.0,5.91,1010.0,69.0,43.2,78.0
Mikuni,JP,36.2171,136.1519,1650427684.0,7.78,1018.0,45.0,64.0,0.0
Ghanzi,BW,-21.5667,21.7833,1650427685.0,7.49,1020.0,71.0,56.59,12.0
Cabo San Lucas,MX,22.8909,-109.9124,1650427642.0,1.01,1013.0,51.0,74.52,0.0
Zhezkazgan,KZ,47.8043,67.7144,1650427687.0,11.18,1019.0,47.0,53.58,0.0
Wanparti,IN,16.3667,78.0667,1650427689.0,4.38,1009.0,29.0,93.9,5.0
Portland,US,45.5234,-122.6762,1650427122.0,2.46,1012.0,92.0,47.01,100.0
Dikson,RU,73.5069,80.5464,1650427691.0,5.48,1005.0,87.0,10.74,98.0
Hong Kong,HK,22.2855,114.1577,1650427594.0,8.01,1016.0,76.0,75.25,99.0
Zhigansk,RU,66.7697,123.3711,1650427694.0,10.65,995.0,84.0,29.82,100.0
Bainbridge Island,US,47.6262,-122.5212,1650427397.0,3.44,1013.0,79.0,48.24,75.0
Mansfield,GB,53.1333,-1.2,1650427697.0,1.99,1018.0,88.0,45.43,97.0
San Cristobal,VE,7.7669,-72.225,1650427698.0,1.19,1015.0,73.0,69.98,100.0
Talaya,RU,61.3833,152.75,1650427699.0,8.99,1004.0,66.0,26.58,49.0
Labuhan,ID,-6.8844,112.2051,1650427701.0,1.36,1010.0,76.0,81.73,100.0
Ponta do Sol,PT,32.6667,-17.1,1650427702.0,9.69,1023.0,62.0,61.72,6.0
Tucuruí,BR,-3.7661,-49.6725,1650427703.0,1.79,1011.0,94.0,74.95,90.0
sentyabrskiy,,,,,,,,,
Timmins,CA,48.4669,-81.3331,1650427706.0,12.12,1019.0,89.0,23.04,100.0
Henties Bay,NA,-22.116,14.2845,1650427707.0,13.49,1010.0,37.0,76.46,33.0
Dodge City,US,37.7528,-100.0171,1650427432.0,20.71,1006.0,60.0,54.7,0.0
Hokitika,NZ,-42.7167,170.9667,1650427710.0,11.18,1019.0,95.0,63.18,100.0
Barcelos,PT,41.5388,-8.6151,1650427711.0,11.45,1016.0,74.0,46.54,2.0
palabuhanratu,,,,,,,,,
barentsburg,,,,,,,,,
Sălacea,RO,47.4667,22.3167,1650427715.0,3.0,1014.0,90.0,34.2,27.0
Cayenne,GF,4.9333,-52.3333,1650427717.0,2.3,1011.0,1.0,76.08,75.0
Kieta,PG,-6.2167,155.6333,1650427718.0,5.06,1008.0,70.0,84.87,24.0
Breytovo,RU,58.2993,37.8617,1650427719.0,7.78,1024.0,95.0,33.91,26.0
tidore,,,,,,,,,
Makkah al Mukarramah,SA,21.4267,39.8261,1650427626.0,2.37,1009.0,34.0,83.8,16.0
Aleksandrov Gay,RU,50.147,48.5704,1650427723.0,9.48,1013.0,57.0,58.59,97.0
Palmerston,AU,-12.486,130.9833,1650427724.0,16.11,1008.0,56.0,91.89,40.0
Mendi,PG,-6.1761,143.6513,1650427726.0,5.08,1010.0,68.0,69.13,99.0
Tezu,IN,27.9167,96.1667,1650427727.0,2.84,1013.0,41.0,85.12,1.0
Moindou,NC,-21.6924,165.677,1650427729.0,7.96,1013.0,72.0,78.71,43.0
Atambua,ID,-9.1061,124.8925,1650427731.0,3.06,1009.0,61.0,84.04,87.0
Kaitangata,NZ,-46.2817,169.8464,1650427732.0,4.41,1010.0,67.0,63.66,100.0
Laguna,US,38.421,-121.4238,1650427733.0,10.36,1014.0,60.0,59.76,0.0
Bethel,US,41.3712,-73.414,1650427735.0,4.0,1012.0,62.0,43.48,28.0
Ninotsminda,GE,41.2646,43.5916,1650427736.0,5.73,1011.0,68.0,45.23,77.0
Baruun-Urt,MN,46.6806,113.2792,1650427738.0,23.09,999.0,55.0,44.76,100.0
tasbuget,,,,,,,,,
Makakilo City,US,21.3469,-158.0858,1650427741.0,17.27,1021.0,63.0,77.32,40.0
Forrest City,US,35.0081,-90.7898,1650427742.0,6.35,1023.0,69.0,48.18,41.0
Longyearbyen,SJ,78.2186,15.6401,1650427743.0,20.71,1023.0,68.0,24.64,40.0
Rafaela,AR,-31.2503,-61.4867,1650427745.0,1.01,1014.0,56.0,61.0,14.0
Yar-Sale,RU,66.8333,70.8333,1650427746.0,22.97,1004.0,87.0,17.96,69.0
belushya guba,,,,,,,,,
Apatity,RU,67.5641,33.4031,1650427749.0,2.53,1030.0,94.0,33.96,76.0
Ulladulla,AU,-35.35,150.4667,1650427750.0,5.75,1014.0,61.0,70.77,11.0
Tambacounda,SN,13.7539,-13.7586,1650427752.0,8.14,1009.0,30.0,85.96,99.0
Weyburn,CA,49.6668,-103.8511,1650427753.0,13.94,1004.0,92.0,31.75,100.0
Clyde River,CA,70.4692,-68.5914,1650427755.0,3.85,1026.0,83.0,-14.22,88.0
Abhā,SA,18.2164,42.5053,1650427756.0,0.0,1024.0,22.0,66.45,0.0
Puerto Ayora,EC,-0.7393,-90.3518,1650427758.0,3.49,1015.0,89.0,74.34,96.0
bolungarvik,,,,,,,,,
Hobyo,SO,5.3505,48.5268,1650427577.0,14.52,1011.0,65.0,83.32,24.0
Kruisfontein,ZA,-34.0033,24.7314,1650427762.0,6.06,1018.0,88.0,59.14,3.0
Alofi,NU,-19.0595,-169.9187,1650427763.0,19.33,1014.0,77.0,80.26,100.0
tubruq,,,,,,,,,
Grand Gaube,MU,-20.0064,57.6608,1650427766.0,10.0,1015.0,82.0,81.37,21.0
Chokurdakh,RU,70.6333,147.9167,1650427767.0,5.79,1001.0,89.0,24.01,99.0
solovetskiy,,,,,,,,,
Warwick,US,41.7001,-71.4162,1650427742.0,19.57,1013.0,58.0,46.45,0.0
Severo-Kuril'sk,RU,50.6789,156.125,1650427771.0,10.89,1010.0,76.0,32.4,84.0
Nur-Sultan,KZ,51.1801,71.446,1650427649.0,13.42,1018.0,62.0,51.75,40.0
Contai,IN,21.7786,87.7536,1650427774.0,18.45,1009.0,69.0,87.22,14.0
Merauke,ID,-8.4667,140.3333,1650427775.0,8.23,1007.0,71.0,84.63,83.0
Kozhevnikovo,RU,56.2589,83.9714,1650427776.0,8.72,1015.0,48.0,45.25,74.0
Jumla,NP,29.2747,82.1838,1650427778.0,5.75,1015.0,28.0,68.18,1.0
Brae,GB,60.3964,-1.353,1650427779.0,4.23,1023.0,85.0,44.01,95.0
Pemba,MZ,-12.974,40.5178,1650427781.0,12.37,1013.0,89.0,75.31,27.0
Kisangani,CD,0.5167,25.2,1650427782.0,4.92,1012.0,99.0,69.13,100.0
San Patricio,US,28.017,-97.5169,1650427783.0,15.64,1016.0,85.0,75.07,100.0
Hambantota,LK,6.1241,81.1185,1650427785.0,2.3,1010.0,79.0,86.34,20.0
Port Elizabeth,ZA,-33.918,25.5701,1650427786.0,9.62,1019.0,90.0,62.55,20.0
saleaula,,,,,,,,,
bargal,,,,,,,,,
Kayerkan,RU,69.3497,87.7602,1650427790.0,4.0,1006.0,91.0,3.52,92.0
São José da Coroa Grande,BR,-8.8978,-35.1478,1650427792.0,6.62,1012.0,87.0,76.95,18.0
Iqaluit,CA,63.7506,-68.5145,1650427793.0,4.25,1026.0,98.0,-8.16,70.0
Kaabong,UG,3.4836,34.1492,1650427794.0,6.51,1013.0,85.0,65.64,100.0
Lorengau,PG,-2.0226,147.2712,1650427796.0,10.45,1007.0,67.0,85.86,57.0
Santiago de Cao,PE,-7.9589,-79.2392,1650427797.0,5.75,1015.0,94.0,62.73,11.0
Tevaitoa,PF,-16.7833,-151.5,1650427799.0,3.91,1015.0,69.0,80.98,1.0
Coquimbo,CL,-29.9533,-71.3436,1650427656.0,5.75,1018.0,87.0,53.33,0.0
Richards Bay,ZA,-28.783,32.0377,1650427801.0,4.7,1024.0,87.0,60.98,2.0
Tuatapere,NZ,-46.1333,167.6833,1650427803.0,5.86,1008.0,82.0,62.53,100.0
Dingle,PH,10.9995,122.6711,1650427804.0,11.34,1010.0,60.0,87.51,80.0
Bo Rai,TH,12.5728,102.5371,1650427805.0,3.67,1012.0,62.0,86.77,98.0
Somerset,US,40.5668,-74.5496,1650427775.0,6.91,1017.0,58.0,44.22,0.0
Fort Nelson,CA,58.8053,-122.7002,1650427729.0,2.33,1016.0,95.0,20.37,97.0
Najrān,SA,17.4924,44.1277,1650427809.0,2.35,1014.0,19.0,75.72,0.0
Yulara,AU,-25.2406,130.9889,1650427811.0,11.72,1018.0,18.0,75.58,9.0
Kyra,RU,49.5776,111.9753,1650427812.0,16.93,1003.0,30.0,41.86,100.0
Rostovka,RU,55.3842,71.8891,1650427814.0,11.48,1016.0,77.0,41.54,95.0
Tirumullaivāsal,IN,11.2333,79.8333,1650427815.0,8.55,1010.0,64.0,88.45,2.0
Kapaa,US,22.0752,-159.319,1650427696.0,20.71,1022.0,79.0,80.58,75.0
Mehamn,NO,71.0357,27.8492,1650427818.0,17.27,1023.0,87.0,37.35,0.0
Okhotsk,RU,59.3833,143.3,1650427819.0,24.7,1002.0,87.0,30.13,100.0
longlac,,,,,,,,,
Sørland,NO,67.667,12.6934,1650427822.0,14.14,1023.0,88.0,43.5,0.0
Bedelē,ET,8.456,36.353,1650427823.0,1.3,1014.0,74.0,58.89,21.0
Ust-Kuyga,RU,70.0167,135.6,1650427824.0,1.72,997.0,66.0,27.95,74.0
High Rock,BS,26.6208,-78.2833,1650427826.0,18.39,1020.0,65.0,68.02,31.0
Ilulissat,GL,69.2167,-51.1,1650427827.0,4.61,1033.0,65.0,-2.18,55.0
Belle Fourche,US,44.6714,-103.8522,1650427581.0,11.79,1003.0,55.0,52.5,89.0
Mayo,US,38.8876,-76.5119,1650427830.0,12.66,1023.0,57.0,46.98,0.0
Turukhansk,RU,65.8167,87.9833,1650427831.0,6.6,1008.0,84.0,11.35,100.0
Tomatlán,MX,19.9333,-105.25,1650427833.0,0.81,1014.0,92.0,69.04,0.0
Bom Jesus,BR,-9.0744,-44.3586,1650427834.0,2.51,1012.0,80.0,74.75,74.0
Sharan,RU,54.8167,54.0,1650427835.0,8.12,1017.0,91.0,46.44,100.0
Port Hedland,AU,-20.3167,118.5667,1650427837.0,14.97,1013.0,23.0,95.05,7.0
Wieluń,PL,51.221,18.5696,1650427838.0,7.0,1015.0,88.0,33.89,95.0
Kendari,ID,-3.945,122.4989,1650427840.0,5.19,1009.0,58.0,88.45,95.0
Tiznit Province,MA,29.5833,-9.5,1650427841.0,4.05,1011.0,54.0,58.68,1.0
Provincia di Imperia,IT,43.9667,7.7833,1650427842.0,4.18,1009.0,86.0,52.95,91.0
Heihe,CN,50.2441,127.4902,1650427844.0,6.06,989.0,51.0,55.98,100.0
Mayumba,GA,-3.432,10.6554,1650427845.0,4.88,1011.0,94.0,75.43,100.0
Saldanha,ZA,-33.0117,17.9442,1650427847.0,12.95,1013.0,38.0,69.39,85.0
Pangnirtung,CA,66.1451,-65.7125,1650427848.0,6.76,1027.0,88.0,3.4,100.0
Nässjö,SE,57.6531,14.6968,1650427850.0,5.66,1023.0,82.0,38.32,42.0
Bibiani,GH,6.4635,-2.3194,1650427851.0,1.57,1009.0,98.0,73.31,100.0
Cidreira,BR,-30.1811,-50.2056,1650427852.0,8.1,1019.0,84.0,66.33,2.0
Verāval,IN,20.9,70.3667,1650427854.0,9.42,1011.0,47.0,88.3,82.0
Del Rio,US,29.3627,-100.8968,1650427855.0,10.36,1011.0,88.0,70.2,0.0
Merritt Island,US,28.5392,-80.672,1650427646.0,6.91,1022.0,74.0,66.2,0.0
Elizabeth City,US,36.2946,-76.2511,1650427858.0,10.36,1026.0,73.0,48.97,0.0
Vostok,RU,46.4856,135.8833,1650427859.0,14.47,1000.0,36.0,64.94,6.0
Beloha,MG,-25.1667,45.05,1650427860.0,10.67,1015.0,89.0,73.35,42.0
Shimoda,JP,34.6667,138.95,1650427862.0,11.3,1020.0,72.0,55.11,35.0
Sur,OM,22.5667,59.5289,1650427863.0,7.67,1012.0,64.0,81.88,0.0
Brookings,US,44.3114,-96.7984,1650427812.0,24.16,1010.0,62.0,37.74,0.0
tsihombe,,,,,,,,,
Damaturu,NG,11.747,11.9608,1650427868.0,3.85,1009.0,11.0,84.25,76.0
Sinnamary,GF,5.3833,-52.95,1650427869.0,8.34,1012.0,91.0,76.64,100.0
Talnakh,RU,69.4865,88.3972,1650427730.0,8.57,1006.0,90.0,4.21,97.0
Pisco,PE,-13.7,-76.2167,1650427872.0,10.36,1015.0,88.0,65.01,0.0
Bagdarin,RU,54.4333,113.6,1650427873.0,10.54,1004.0,33.0,32.68,14.0
High Level,CA,58.5169,-117.136,1650427875.0,2.28,1018.0,95.0,19.89,100.0
Cap-aux-Meules,CA,47.3821,-61.8597,1650427681.0,44.72,1012.0,87.0,40.89,100.0
Sola,VU,-13.8833,167.55,1650427877.0,12.48,1009.0,71.0,83.3,90.0
marcona,,,,,,,,,
Takoradze,GH,4.8845,-1.7554,1650427793.0,6.31,1009.0,86.0,79.27,99.0
Point Fortin,TT,10.1833,-61.6833,1650427881.0,12.06,1013.0,83.0,76.86,62.0
Sunrise Manor,US,36.2111,-115.0731,1650427883.0,19.57,1003.0,20.0,74.75,0.0
Salinópolis,BR,-0.6136,-47.3561,1650427884.0,5.97,1010.0,84.0,78.96,100.0
Aykhal,RU,66.0,111.5,1650427885.0,10.09,1002.0,82.0,15.98,100.0
Faanui,PF,-16.4833,-151.75,1650427887.0,3.49,1015.0,69.0,80.94,1.0
Phek,IN,25.6667,94.5,1650427888.0,1.25,1013.0,37.0,75.83,58.0
Lucapa,AO,-8.4192,20.7447,1650427889.0,1.57,1012.0,96.0,64.65,85.0
Amahai,ID,-3.3333,128.9167,1650427891.0,6.82,1008.0,65.0,87.19,55.0
Willmar,US,45.1219,-95.0433,1650427800.0,19.57,1014.0,68.0,39.22,100.0
Vardø,NO,70.3705,31.1107,1650427894.0,14.63,1027.0,91.0,36.64,100.0
Ariquemes,BR,-9.9133,-63.0408,1650427896.0,0.13,1011.0,98.0,71.96,20.0
Caravelas,BR,-17.7125,-39.2481,1650427897.0,6.42,1016.0,74.0,75.83,88.0
